"","Sex_GPS","Territory_antonio","ID_F","F_human_1","F_humanlands_1","F_agri_1","F_forest_1","F_roadens_sec1","F_mainroad_1","F_bear_1","F_roadbuild_1","F_build_1","ID_M","M_human_1","M_humanlands_1","M_agri_1","M_forest_1","M_roadens_sec1","M_mainroad_1","M_bear_1","M_roadbuild_1","M_build_1"
"1","M","Grafjell_2001_w","M-01-10",0.874847098012378,0.000860319739545664,0.0139259258427068,0.815277023765898,0.393037857299105,0.155147583141213,0.0785154660279943,10.3127845974685,1.17907765264025,"M-01-09",7.27335101341742,0.00118745068917974,0.00506351390388873,0.783356818965608,0.87789087328811,0.249694467320574,0.072548602894609,10.6760040143299,1.89787310841695
"2","M","Grafjell_2003_w","M-01-10",0.874847098012378,0.000860319739545664,0.0139259258427068,0.815277023765898,0.393037857299105,0.155147583141213,0.0785154660279943,10.3127845974685,1.17907765264025,"M-01-09",7.27335101341742,0.00118745068917974,0.00506351390388873,0.783356818965608,0.87789087328811,0.249694467320574,0.072548602894609,10.6760040143299,1.89787310841695
"3","F","Tyngsjo_2002_w","M-02-04",10.9672512589276,0.00349114941087938,0.00383295850460711,0.803240346472505,0.946508199934021,0.239468361253009,0.0893342146722642,13.6871763554388,1.93214962937291,"M-00-06",7.46124693644633,0.00596732220853956,0.0189687783586281,0.814553105662431,0.980263565803741,0.232726240578568,0.353807317602848,25.7655214267574,2.07564508743237
"4","M","Bograngen_2003_s","M-00-11",4.4073065674337,0.00281186297949115,0.0114714273512633,0.83979249936213,0.800009959353182,0.233754244448547,0.109390959767313,10.8734822746969,1.53855704596491,"M-00-09",10.9672512589276,0.00349114941087938,0.00383295850460711,0.803240346472505,0.946508199934021,0.239468361253009,0.0893342146722642,13.6871763554388,1.93214962937291
"5","M","Bograngen_2003_w","M-00-11",4.4073065674337,0.00281186297949115,0.0114714273512633,0.83979249936213,0.800009959353182,0.233754244448547,0.109390959767313,10.8734822746969,1.53855704596491,"M-00-09",10.9672512589276,0.00349114941087938,0.00383295850460711,0.803240346472505,0.946508199934021,0.239468361253009,0.0893342146722642,13.6871763554388,1.93214962937291
"6","M","Nyskoga_2004_w","M-00-08",13.4885641128303,0.00268287003662642,0.053019387879808,0.7896361871968,0.624153711671456,0.352791267999318,0.0082010512816087,14.2771789630228,1.23713249445626,"M-00-07",7.27335101341742,0.00118745068917974,0.00506351390388873,0.783356818965608,0.87789087328811,0.249694467320574,0.072548602894609,10.6760040143299,1.89787310841695
"7","M","Djurskog_2004_w","M-02-09",13.4885641128303,0.00268287003662642,0.053019387879808,0.7896361871968,0.624153711671456,0.352791267999318,0.0082010512816087,14.2771789630228,1.23713249445626,"M-03-06",4.70183190524557,0.00579196352882171,0.0164657110822624,0.804738142490711,0.959190592288971,0.158233355955667,0.866972140926413,19.4167821122745,2.09681218647181
"8","M","Jangen_2004_w","M-04-05",9.81438275896279,0.0112832575143718,0.0206746991539653,0.812708725166336,1.0068772574246,0.307503867697438,0.0190695950242477,36.6850485944365,2.17943465318068,"M-04-04",4.4073065674337,0.00281186297949115,0.0114714273512633,0.83979249936213,0.800009959353182,0.233754244448547,0.109390959767313,10.8734822746969,1.53855704596491
"9","M","Grasmark_2007_w","M-06-10",1.5477876716153,0.000102766347717504,0.00867507770331649,0.774318537268235,0.549134609398275,0.108358802898656,0.101442336654892,4.74600044657997,1.10616952156228,"M-06-11",4.70183190524557,0.00579196352882171,0.0164657110822624,0.804738142490711,0.959190592288971,0.158233355955667,0.866972140926413,19.4167821122745,2.09681218647181
"10","M","Kloten_2008_w","G3-03",1.57035599902873,0.00379592027035037,0.0117439253151753,0.791590391006618,0.827218619162191,0.245742094848547,0.456669688788541,14.5936355401785,1.83389444196426,"M-09-10",13.4885641128303,0.00268287003662642,0.053019387879808,0.7896361871968,0.624153711671456,0.352791267999318,0.0082010512816087,14.2771789630228,1.23713249445626
"11","M","Fulufjallet_2009_w","M-09-06",9.80992875988273,0.00252062138253686,0.014281317075124,0.874671486128369,1.00632447583642,0.281056365534387,0.0335762788294703,14.9999963480846,1.51420972562175,"M-09-04",11.41076174667,0.00184643516504519,0.0172802793661575,0.862839051277719,0.974507516259318,0.311442818220946,0.0248138800883725,14.0419012867944,1.53865539145719
